"-2.9812214/-9.5320635/1.5298374/Thu Nov 05 00:22:07 IST 2015,"
"-5.0210047/-10.473502/1.4121575/Thu Nov 05 00:22:07 IST 2015,"
"-6.00167/-10.238142/1.3337044/Thu Nov 05 00:22:07 IST 2015,"
"-1.372931/-5.8055367/1.0591182/Thu Nov 05 00:22:07 IST 2015,"
"0.78453195/-4.864098/2.0790098/Thu Nov 05 00:22:07 IST 2015,"
"4.275699/-17.338158/5.295591/Thu Nov 05 00:22:07 IST 2015,"
"8.472945/-19.770206/0.588399/Thu Nov 05 00:22:07 IST 2015,"
"4.197246/-9.218251/-1.5690639/Thu Nov 05 00:22:07 IST 2015,"
"1.1375713/-3.7657535/-3.2558076/Thu Nov 05 00:22:07 IST 2015,"
"0.70607877/-2.3143694/-1.0198916/Thu Nov 05 00:22:07 IST 2015,"
"0.588399/-3.1773546/0.35303938/Thu Nov 05 00:22:07 IST 2015,"
"1.7259704/-4.6679654/0.5099458/Thu Nov 05 00:22:08 IST 2015,"
"6.1193495/-14.396162/9.492837/Thu Nov 05 00:22:08 IST 2015,"
"1.8044236/-14.043122/11.218807/Thu Nov 05 00:22:08 IST 2015,"
"2.2751427/-6.550842/7.1784678/Thu Nov 05 00:22:08 IST 2015,"
"5.3348174/-6.9038815/2.6281822/Thu Nov 05 00:22:08 IST 2015,"
"8.825985/-11.29726/-1.4906107/Thu Nov 05 00:22:08 IST 2015,"
"2.3928225/-10.512729/-0.35303938/Thu Nov 05 00:22:08 IST 2015,"
"2.1574628/-9.179024/-2.432049/Thu Nov 05 00:22:08 IST 2015,"
"0.0392266/-8.590625/-2.745862/Thu Nov 05 00:22:08 IST 2015,"
"-3.2558076/-9.218251/-3.9226599/Thu Nov 05 00:22:08 IST 2015,"
"-3.1773546/-10.238142/0.78453195/Thu Nov 05 00:22:08 IST 2015,"
"0.6276256/-10.081236/2.2751427/Thu Nov 05 00:22:08 IST 2015,"
"2.0397832/-8.551398/1.9613299/Thu Nov 05 00:22:08 IST 2015,"
"0.8237586/-8.276813/-1.0591182/Thu Nov 05 00:22:08 IST 2015,"
"0.8237586/-8.472945/-0.4314926/Thu Nov 05 00:22:08 IST 2015,"
"1.4513842/-8.982891/2.2751427/Thu Nov 05 00:22:08 IST 2015,"
"3.0989013/-9.728196/0.2745862/Thu Nov 05 00:22:08 IST 2015,"
"1.7651969/-10.002783/-0.5491724/Thu Nov 05 00:22:08 IST 2015,"
"-0.2353596/-11.061901/-0.6276256/Thu Nov 05 00:22:08 IST 2015,"
"-1.8044236/-14.513842/-1.4906107/Thu Nov 05 00:22:08 IST 2015,"
"-1.7651969/-14.670748/0.2745862/Thu Nov 05 00:22:08 IST 2015,"
"2.9027684/-13.49395/2.745862/Thu Nov 05 00:22:08 IST 2015,"
"2.0790098/-13.72931/-0.35303938/Thu Nov 05 00:22:08 IST 2015,"
"1.7259704/-12.00334/-1.8436501/Thu Nov 05 00:22:08 IST 2015,"
